date_in,date_out,app_date,hours_in_custody,age_group,gender,citizenship,border,sector,field_office,source
1/20/2017 9:35,1/24/2017 8:16,NA,94.68333333,Under 1 year,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:35,1/25/2017 7:48,NA,118.2166667,6-8 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:35,1/25/2017 7:48,NA,118.2166667,Under 1 year,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:35,1/24/2017 17:30,NA,103.9166667,6-8 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:35,1/21/2017 9:01,NA,23.43333333,15-18 years,Female,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:35,1/25/2017 7:48,NA,118.2166667,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 9:35,1/24/2017 17:30,NA,103.9166667,3-5 years,Male,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:30,1/21/2017 15:50,NA,29.31666667,15-18 years,Male,MEXICO,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:30,1/21/2017 11:59,NA,25.46666667,15-18 years,Male,GUATEMALA,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:35,1/21/2017 7:52,NA,21.28333333,15-18 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:35,1/21/2017 6:37,NA,20.01666667,15-18 years,Male,HONDURAS,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:35,1/22/2017 8:03,NA,45.45,1-2 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/21/2017 22:30,NA,35.73333333,12-14 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
1/20/2017 10:45,1/23/2017 8:29,NA,69.71666667,3-5 years,Female,EL SALVADOR,SBO,(b)(7)(E ),NA,BP
