age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
44,15,1,1,3,1,-100,1,1,1,4,1,-100,1,-100,3,2,4,2,2,9,1,-100,2
24,15,5,0,0,2,-100,3,3,4,5,0,-100,1,-100,-98,35,2,2,2,4,5,-100,2
37,18,5,2,2,1,-100,2,2,2,1,3,-100,1,4,1,40,-100,-100,-100,-100,-100,-100,1
79,20,3,4,8,1,-100,1,1,2,4,0,1,1,4,3,4,6,2,1,-98,0,-100,1
22,15,5,0,2,1,3,2,2,2,4,0,-100,1,-100,0,1,-100,-100,-100,-100,-100,2,2
34,16,5,0,1,1,-100,3,5,3,4,0,1,1,4,2,3,-100,-100,3,-100,-100,-100,1
26,16,5,0,8,1,1,2,2,2,11,0,-100,1,-100,2,50,3,2,1,9,0,-100,2
29,17,5,0,-100,1,3,-100,-98,2,5,1,-100,1,-100,1,1,4,2,2,9,0,-100,2
36,16,1,1,3,2,-100,1,1,2,4,0,-100,1,4,1,10,6,2,4,9,2,-100,1
29,15,5,0,2,2,-100,2,2,3,4,2,-100,1,4,2,12,3,2,2,7,1,2,1
47,12,5,0,3,1,3,3,3,4,1,2,-100,2,-100,2,0,-100,-100,1,-100,-100,-100,2
58,16,5,0,3,2,1,2,2,2,6,7,-100,1,-100,2,40,3,2,1,9,0,2,2
46,16,5,0,0,1,-100,1,1,2,4,0,-100,1,-100,1,14,6,1,2,8,0,-100,2
29,16,5,0,8,2,-100,3,6,2,-98,0,1,1,4,2,7,-98,2,2,8,1,-100,1
46,16,1,2,3,2,3,1,1,4,10,5,-100,2,-100,1,24,5,2,2,8,30,-100,2
71,14,4,2,-100,1,3,1,1,4,2,2,1,-100,4,-100,-100,-100,-100,-100,-100,-100,1,3
28,16,1,2,2,1,3,3,5,3,11,3,-100,1,-100,2,30,4,2,1,9,0,-100,2
38,16,5,0,4,2,-100,1,1,4,3,4,1,1,4,0,10,4,2,1,8,0,-100,1
25,14,5,0,-100,1,3,2,2,4,4,0,2,-100,4,-100,-100,6,2,2,7,-98,-100,3
34,16,5,0,-100,2,3,1,1,4,2,0,1,-100,4,-100,-100,5,2,2,8,0,3,3
