hours work per week,number of children,age,education,sex,race,religious preference,religious services frequency,abortion,ideal number of children,sex education,homosexual,own gun,tv hours per week,email hours per week,racial discrimination at work,days of poor mental health,sexual orientation,ballot,life now,confidence in government
-100,0,34,16,1,3,4,0,1,1,1,4,2,2,3,-100,-100,-100,1,-100,-100
-100,0,26,16,1,2,11,0,-100,8,1,-100,-100,2,50,2,0,1,2,9,-100
-100,0,29,17,1,-100,5,1,-100,-100,1,-100,-100,1,1,2,0,3,2,9,-100
-100,1,36,16,2,1,4,0,-100,3,1,4,2,1,10,2,2,-100,1,9,-100
-100,0,29,15,2,2,4,2,-100,2,1,4,2,2,12,2,1,-100,1,7,2
-100,0,47,12,1,3,1,2,-100,3,2,-100,-100,2,0,-100,-100,3,2,-100,-100
-100,0,58,16,2,2,6,7,-100,3,1,-100,-100,2,40,2,0,1,2,9,2
-100,0,46,16,1,1,4,0,-100,0,1,-100,-100,1,14,1,0,-100,2,8,-100
-100,0,29,16,2,3,-98,0,1,8,1,4,2,2,7,2,1,-100,1,8,-100
-100,2,46,16,2,1,10,5,-100,3,2,-100,-100,1,24,2,30,3,2,8,-100
-100,2,71,14,1,1,2,2,1,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,1
-100,2,28,16,1,3,11,3,-100,2,1,-100,-100,2,30,2,0,3,2,9,-100
-100,0,38,16,2,1,3,4,1,4,1,4,2,0,10,2,0,-100,1,8,-100
-100,0,25,14,1,2,4,0,2,-100,-100,4,2,-100,-100,2,-98,3,3,7,-100
-100,0,34,16,2,1,2,0,1,-100,-100,4,2,-100,-100,2,0,3,3,8,3
-100,3,26,14,2,3,2,3,-100,-100,-100,4,2,-100,-100,2,12,2,3,5,1
-100,1,63,16,1,1,2,8,-100,3,1,-100,-100,3,0,2,2,-100,2,6,-100
-100,1,82,16,1,1,1,2,1,-100,-100,1,2,-100,-100,2,0,-100,3,7,-100
-100,0,47,18,1,1,2,1,-100,2,1,4,2,4,20,2,5,-100,1,8,3
-100,2,40,16,1,1,3,3,-100,2,1,-100,-100,2,1,2,5,-100,2,8,1
-100,0,71,17,1,3,1,5,-100,-100,-100,1,2,-100,-100,-100,-100,3,3,-100,-100
-100,3,63,13,2,1,2,2,-100,3,2,-100,-100,0,0,-100,-100,3,2,-100,-100
-100,7,89,15,2,1,2,2,-100,5,2,3,2,4,-100,-100,-100,-100,1,-100,-100
-100,3,61,16,1,1,2,7,-100,3,1,-100,-100,3,1,2,0,3,2,10,3
50,3,52,12,1,3,2,1,-100,4,1,4,2,6,0,2,0,-100,1,10,-100
-100,0,48,15,1,2,1,0,1,-100,-100,4,2,-100,-100,2,0,1,3,9,-100
-100,0,40,16,1,1,2,2,-100,2,1,-100,-100,2,25,2,0,-100,2,8,1
-100,1,-99,15,1,2,1,0,-100,1,2,1,2,4,0,2,0,-100,1,-99,-100
-100,3,44,12,1,1,1,0,-100,2,1,-100,-100,2,2,2,0,-97,2,6,-100
-100,3,42,12,1,3,1,6,-100,3,1,-100,-100,2,1,2,0,-100,2,7,-100
-100,0,46,16,1,3,4,0,1,8,1,4,2,0,0,2,15,-100,1,9,3
-100,2,70,9,2,1,2,5,-100,4,1,-100,-100,5,-98,-100,-100,-100,2,-100,-100
-100,0,20,14,2,2,11,4,1,-100,-100,4,2,-100,-100,-100,-100,2,3,-100,1
-100,1,36,12,1,3,-98,3,-100,3,1,-100,-100,1,12,2,0,-100,2,-98,-100
-100,0,82,14,1,1,2,2,-100,2,1,4,1,3,5,-100,-100,-100,1,-100,-100
-100,3,65,16,2,1,2,8,-100,2,1,4,2,2,12,2,10,-100,1,5,2
-100,5,64,9,2,1,2,5,-100,4,-98,2,2,3,0,-100,-100,-100,1,-100,-100
-100,2,69,12,2,-100,2,0,1,-100,-100,4,2,-100,-100,2,0,3,3,10,-100
-100,2,-99,16,1,3,4,0,-100,3,1,-100,-100,1,3,-100,-100,3,2,-100,1
-100,0,65,16,2,1,4,0,-100,2,1,4,2,2,10,2,5,-100,1,6,-100
-100,0,52,12,1,3,2,0,-100,3,1,-100,-100,2,4,1,0,3,2,8,-100
-100,2,61,16,1,1,1,1,-100,-100,-100,1,2,-100,-100,2,0,3,3,7,-100
-100,0,31,18,2,1,3,1,-100,-100,-100,4,2,-100,-100,2,2,2,3,8,2
-100,0,40,18,1,3,2,0,-100,-100,-100,4,2,-100,-100,2,0,1,3,5,-100
-100,0,43,18,1,3,1,8,-100,3,1,-100,-100,3,7,2,0,3,2,9,-100
-100,0,26,17,1,2,5,3,-100,4,1,-100,-100,0,7,2,0,-100,2,6,-100
-100,2,80,12,1,1,4,0,-100,2,1,-100,-100,4,0,-100,-100,-99,2,-100,-100
-100,2,34,11,2,-100,2,0,-100,2,1,-100,-100,2,15,-100,-100,3,2,-100,-100
-100,0,26,12,2,3,2,0,-100,8,1,-100,-100,1,0,-100,-100,-100,2,-100,-100
-100,3,56,14,2,2,9,3,-100,2,2,-100,-100,2,1,2,2,3,2,7,-100
-100,8,32,12,2,2,4,0,-100,8,1,4,2,0,-98,-100,-100,-100,1,-100,-100
-100,0,23,16,2,1,4,2,1,-100,-100,4,2,-100,-100,2,2,2,3,9,-100
-100,0,34,16,2,1,4,0,-100,8,1,-100,-100,0,50,2,3,-100,2,6,1
-100,0,-99,19,2,3,4,0,-100,2,1,1,2,2,2,2,0,-100,1,8,2
-100,4,79,16,1,2,2,3,-100,4,-98,4,2,3,5,-100,-100,-100,1,-100,-100
-100,3,36,18,1,2,1,6,1,3,2,4,1,1,4,2,0,-100,1,8,-100
-100,2,-99,16,2,2,-99,-99,-100,3,1,-100,-100,6,1,-100,-100,-100,2,-100,-100
-100,3,69,14,1,2,1,5,-100,-100,-100,1,2,-100,-100,-100,-100,3,3,-100,1
-100,5,56,14,2,2,1,5,-100,6,2,1,2,6,-100,-100,-100,-100,1,-100,-100
-100,2,-99,16,2,3,2,1,-100,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,1
-100,3,36,16,2,2,1,7,1,-100,1,4,2,0,1,-100,-100,-100,1,-100,2
-100,2,-99,16,2,2,1,5,-100,3,1,1,2,1,1,-99,-99,-100,1,-99,-100
-100,0,29,18,1,2,2,4,-100,2,1,-100,-100,0,9,-99,-99,-100,2,-99,-100
-100,0,44,11,2,3,2,1,-100,8,1,4,2,3,3,2,2,-100,1,8,-100
-100,2,37,10,1,3,4,0,-100,8,1,1,2,2,0,2,0,-100,1,-98,-100
-100,4,70,18,1,1,3,1,-100,-100,-100,4,2,-100,-100,-100,-100,3,3,-100,1
-100,-100,-99,13,2,1,4,2,-100,-100,-100,4,2,-100,-100,-100,-100,-97,3,-100,-100
-100,2,62,12,1,1,2,0,-100,3,2,-100,-100,6,7,-100,-100,3,2,-100,3
-100,0,24,16,2,1,4,0,-100,2,1,-100,-100,2,3,2,3,-100,2,9,2
-100,2,83,12,2,3,7,4,-100,3,2,-100,-100,6,0,-100,-100,-100,2,-100,-100
-100,1,71,17,1,1,2,3,-100,2,1,3,2,2,9,-100,-100,-100,1,-100,1
-100,0,68,16,1,1,3,0,-100,8,2,4,2,2,14,2,0,-100,1,10,3
-100,2,-99,12,2,-100,1,-99,-100,-100,-100,4,2,-100,-100,2,20,3,3,9,-100
-100,2,74,19,1,3,7,4,1,-100,-100,1,2,-100,-100,2,0,3,3,8,-100
-100,0,46,16,2,2,9,3,-100,8,1,-100,-100,0,7,1,0,-100,2,7,-100
-100,4,48,17,1,3,9,3,-100,3,1,-100,-100,2,0,2,15,3,2,7,3
-100,2,55,20,2,1,2,0,2,4,1,4,2,0,1,2,0,-100,1,-98,-100
-100,2,46,12,2,1,2,3,2,-100,-100,1,2,-100,-100,-100,-100,-100,3,-100,2
-100,2,40,18,2,1,4,0,1,8,1,4,2,1,20,2,5,-100,1,9,-100
-100,3,63,16,2,1,2,2,-100,2,1,-100,-100,8,-100,-100,-100,-100,2,-100,-100
-100,0,65,12,2,1,1,0,-100,-100,-100,4,2,-100,-100,2,0,3,3,8,-100
-100,2,31,18,2,1,2,3,1,-100,-100,4,1,-100,-100,2,0,-100,3,-98,-100
-100,2,39,13,1,1,4,0,-100,-100,-100,4,1,-100,-100,2,0,3,3,8,-100
-100,3,51,20,1,1,4,0,-100,3,1,-100,-100,2,40,2,0,-100,2,8,2
