age,education,marital status,number of children,ideal number of children,sex,sexual orientation,race,ethinicity,political views,religious preference,religious services attend,abortion opinion,sexual education,homosexual opinion,tv hours,email hours,relax hours,work related racism,work satisfaction,life satisfaction,poor mental health,confidence in government,ballot
84,15,2,2,2,1,nan,1,1,7,2,7,nan,1,nan,3,5,nan,nan,nan,nan,nan,nan,2
79,12,1,2,2,1,3,1,1,4,2,3,nan,1,nan,5,2,nan,nan,nan,nan,nan,nan,2
38,16,1,2,3,2,nan,1,1,4,2,2,nan,1,4,2,2,2,2,2,9,1,nan,1
64,13,3,2,nan,1,3,1,1,4,4,2,1,nan,4,nan,nan,6,2,2,8,10,1,3
49,16,1,6,4,2,nan,1,1,4,3,5,nan,1,nan,0,20,3,2,2,9,1,2,2
65,15,2,0,nan,2,3,1,1,2,2,5,1,nan,4,nan,nan,nan,nan,nan,nan,nan,1,3
29,16,5,0,8,2,nan,3,5,2,1,3,nan,1,nan,2,1,nan,nan,3,nan,nan,2,2
30,18,5,0,3,1,nan,2,2,4,5,8,1,1,nan,4,10,6,1,2,9,0,nan,1
30,14,5,1,nan,2,3,2,2,4,5,3,nan,nan,4,nan,nan,nan,nan,2,nan,nan,nan,3
50,17,3,1,nan,2,2,2,2,2,4,2,nan,nan,3,nan,nan,2,1,3,10,5,nan,3
32,12,5,3,nan,2,nan,2,2,3,4,2,nan,1,1,1,10,0,2,3,9,0,nan,1
52,16,1,3,2,1,3,1,1,6,2,6,nan,2,nan,1,10,nan,nan,nan,nan,nan,nan,2
89,19,1,4,8,1,nan,1,1,3,2,2,nan,1,2,6,5,nan,nan,nan,nan,nan,nan,1
70,14,1,3,nan,2,3,1,1,4,2,6,nan,nan,4,nan,nan,nan,nan,1,nan,nan,nan,3
59,16,1,4,nan,2,3,1,1,2,1,2,1,nan,4,nan,nan,5,2,2,10,0,nan,3
46,16,1,2,2,1,nan,3,8,2,4,0,1,1,1,3,5,1,2,2,6,0,1,1
43,16,1,0,nan,2,nan,3,4,5,7,1,nan,nan,4,nan,nan,3,2,2,nan,1,nan,3
60,12,1,5,8,1,nan,1,1,3,2,0,nan,1,nan,1,1,5,2,2,8,0,1,2
38,12,1,1,nan,1,nan,1,1,2,3,0,1,nan,4,nan,nan,5,2,1,9,3,nan,3
66,14,1,3,2,1,nan,1,1,4,3,3,nan,1,4,2,1,nan,nan,nan,nan,nan,2,1
28,14,3,3,nan,2,nan,2,2,nan,4,0,nan,1,nan,4,0,0,2,2,4,1,nan,2
20,13,5,1,3,2,nan,2,2,2,nan,0,1,1,nan,6,0,nan,nan,2,nan,nan,nan,1
62,14,5,4,nan,2,nan,1,1,5,2,7,2,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,3
36,12,5,1,nan,2,nan,1,1,3,2,3,nan,1,4,0,nan,nan,nan,2,nan,nan,nan,1
49,10,5,1,nan,2,3,1,1,4,nan,nan,1,nan,4,nan,nan,nan,nan,2,nan,nan,nan,3
30,12,4,3,nan,2,3,1,1,6,5,7,nan,nan,1,nan,nan,0,2,2,6,30,nan,3
62,9,3,3,2,2,3,3,16,6,4,0,nan,2,nan,2,1,nan,nan,nan,nan,nan,nan,2
70,4,3,2,nan,2,nan,nan,nan,5,2,3,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,3
73,8,2,3,nan,2,nan,3,16,7,10,3,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,3
34,12,5,8,8,2,nan,2,2,1,4,0,nan,1,nan,4,0,nan,2,1,nan,nan,nan,2
47,16,5,1,nan,2,3,1,1,4,4,0,nan,nan,4,nan,nan,15,2,1,9,0,nan,3
47,15,4,4,1,2,nan,1,1,1,2,5,nan,1,1,1,1,4,nan,4,8,nan,nan,1
58,17,3,5,nan,2,nan,2,2,3,5,3,1,1,3,nan,5,nan,2,2,6,0,3,1
82,12,3,2,3,2,3,2,2,4,5,1,nan,1,nan,4,1,nan,nan,nan,nan,nan,nan,2
67,12,2,2,3,1,nan,2,2,4,5,5,1,1,4,4,28,2,2,1,nan,0,nan,1
41,14,4,0,8,1,nan,2,2,4,2,1,2,1,4,2,0,16,2,2,10,0,2,1
32,16,5,0,8,2,nan,2,2,4,1,2,nan,1,nan,0,37,5,2,2,6,5,nan,2
65,9,3,3,8,2,nan,2,2,nan,1,5,nan,nan,1,0,0,nan,nan,nan,nan,nan,nan,1
57,18,5,0,2,2,nan,2,2,2,2,7,2,1,4,4,2,nan,nan,nan,nan,nan,2,1
55,12,3,4,nan,1,nan,2,2,nan,10,2,nan,1,nan,1,2,nan,2,2,6,0,nan,2
86,9,2,4,nan,2,3,2,2,nan,1,7,1,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,3
31,20,5,0,8,2,nan,2,2,4,4,0,1,1,4,5,0,8,2,3,8,0,nan,1
62,12,3,2,3,2,nan,1,1,5,2,3,nan,1,nan,3,10,nan,nan,1,nan,nan,2,2
23,17,5,0,3,2,nan,2,2,nan,2,0,nan,1,nan,2,3,6,2,2,7,nan,2,2
nan,16,1,0,2,2,nan,2,2,4,nan,nan,nan,1,nan,8,7,2,nan,1,nan,0,nan,2
22,14,5,0,nan,2,2,2,2,2,4,2,nan,nan,4,nan,nan,0,2,3,7,30,nan,3
44,15,1,1,3,1,nan,1,1,1,4,1,nan,1,nan,3,2,4,2,2,9,1,nan,2
24,15,5,0,0,2,nan,3,3,4,5,0,nan,1,nan,nan,35,2,2,2,4,5,nan,2
37,18,5,2,2,1,nan,2,2,2,1,3,nan,1,4,1,40,nan,nan,nan,nan,nan,nan,1
79,20,3,4,8,1,nan,1,1,2,4,0,1,1,4,3,4,6,2,1,nan,0,nan,1
22,15,5,0,2,1,3,2,2,2,4,0,nan,1,nan,0,1,nan,nan,nan,nan,nan,2,2
34,16,5,0,1,1,nan,3,5,3,4,0,1,1,4,2,3,nan,nan,3,nan,nan,nan,1
26,16,5,0,8,1,1,2,2,2,11,0,nan,1,nan,2,50,3,2,1,9,0,nan,2
29,17,5,0,nan,1,3,nan,nan,2,5,1,nan,1,nan,1,1,4,2,2,9,0,nan,2
36,16,1,1,3,2,nan,1,1,2,4,0,nan,1,4,1,10,6,2,4,9,2,nan,1
29,15,5,0,2,2,nan,2,2,3,4,2,nan,1,4,2,12,3,2,2,7,1,2,1
47,12,5,0,3,1,3,3,3,4,1,2,nan,2,nan,2,0,nan,nan,1,nan,nan,nan,2
58,16,5,0,3,2,1,2,2,2,6,7,nan,1,nan,2,40,3,2,1,9,0,2,2
46,16,5,0,0,1,nan,1,1,2,4,0,nan,1,nan,1,14,6,1,2,8,0,nan,2
29,16,5,0,8,2,nan,3,6,2,nan,0,1,1,4,2,7,nan,2,2,8,1,nan,1
46,16,1,2,3,2,3,1,1,4,10,5,nan,2,nan,1,24,5,2,2,8,30,nan,2
71,14,4,2,nan,1,3,1,1,4,2,2,1,nan,4,nan,nan,nan,nan,nan,nan,nan,1,3
28,16,1,2,2,1,3,3,5,3,11,3,nan,1,nan,2,30,4,2,1,9,0,nan,2
38,16,5,0,4,2,nan,1,1,4,3,4,1,1,4,0,10,4,2,1,8,0,nan,1
25,14,5,0,nan,1,3,2,2,4,4,0,2,nan,4,nan,nan,6,2,2,7,nan,nan,3
34,16,5,0,nan,2,3,1,1,4,2,0,1,nan,4,nan,nan,5,2,2,8,0,3,3
26,14,5,3,nan,2,2,3,16,4,2,3,nan,nan,4,nan,nan,2,2,3,5,12,1,3
63,16,4,1,3,1,nan,1,1,5,2,8,nan,1,nan,3,0,3,2,3,6,2,nan,2
82,16,1,1,nan,1,nan,1,1,6,1,2,1,nan,1,nan,nan,4,2,1,7,0,nan,3
47,18,5,0,2,1,nan,1,1,6,2,1,nan,1,4,4,20,3,2,2,8,5,3,1
40,16,1,2,2,1,nan,1,1,4,3,3,nan,1,nan,2,1,3,2,2,8,5,1,2
71,17,1,0,nan,1,3,3,6,4,1,5,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,3
63,13,1,3,3,2,3,1,1,6,2,2,nan,2,nan,0,0,nan,nan,nan,nan,nan,nan,2
89,15,2,7,5,2,nan,1,1,4,2,2,nan,2,3,4,nan,nan,nan,nan,nan,nan,nan,1
61,16,1,3,3,1,3,1,1,6,2,7,nan,1,nan,3,1,3,2,1,10,0,3,2
52,12,1,3,4,1,nan,3,16,3,2,1,nan,1,4,6,0,6,2,1,10,0,nan,1
48,15,5,0,nan,1,1,2,2,2,1,0,1,nan,4,nan,nan,2,2,2,9,0,nan,3
40,16,5,0,2,1,nan,1,1,2,2,2,nan,1,nan,2,25,10,2,2,8,0,1,2
nan,15,1,1,1,1,nan,2,2,2,1,0,nan,2,1,4,0,24,2,2,nan,0,nan,1
44,12,1,3,2,1,nan,1,1,5,1,0,nan,1,nan,2,2,4,2,1,6,0,nan,2
42,12,1,3,3,1,nan,3,16,4,1,6,nan,1,nan,2,1,3,2,2,7,0,nan,2
46,16,4,0,8,1,nan,3,15,4,4,0,1,1,4,0,0,5,2,4,9,15,3,1
70,9,2,2,4,2,nan,1,1,3,2,5,nan,1,nan,5,nan,nan,nan,nan,nan,nan,nan,2
20,14,5,0,nan,2,2,2,2,1,11,4,1,nan,4,nan,nan,nan,nan,2,nan,nan,1,3
36,12,1,1,3,1,nan,3,3,5,nan,3,nan,1,nan,1,12,4,2,1,nan,0,nan,2
82,14,1,0,2,1,nan,1,1,4,2,2,nan,1,4,3,5,nan,nan,nan,nan,nan,nan,1
65,16,1,3,2,2,nan,1,1,6,2,8,nan,1,4,2,12,1,2,1,5,10,2,1
64,9,3,5,4,2,nan,1,1,3,2,5,nan,nan,2,3,0,nan,nan,2,nan,nan,nan,1
69,12,3,2,nan,2,3,nan,nan,2,2,0,1,nan,4,nan,nan,4,2,1,10,0,nan,3
nan,16,1,2,3,1,3,3,5,4,4,0,nan,1,nan,1,3,nan,nan,nan,nan,nan,1,2
65,16,3,0,2,2,nan,1,1,1,4,0,nan,1,4,2,10,2,2,1,6,5,nan,1
52,12,3,0,3,1,3,3,16,4,2,0,nan,1,nan,2,4,4,1,1,8,0,nan,2
61,16,1,2,nan,1,3,1,1,4,1,1,nan,nan,1,nan,nan,2,2,1,7,0,nan,3
31,18,5,0,nan,2,2,1,1,1,3,1,nan,nan,4,nan,nan,5,2,2,8,2,2,3
40,18,5,0,nan,1,1,3,16,4,2,0,nan,nan,4,nan,nan,0,2,4,5,0,nan,3
43,18,1,0,3,1,3,3,16,3,1,8,nan,1,nan,3,7,6,2,1,9,0,nan,2
26,17,5,0,4,1,nan,2,2,5,5,3,nan,1,nan,0,7,8,2,1,6,0,nan,2
80,12,1,2,2,1,nan,1,1,2,4,0,nan,1,nan,4,0,nan,nan,nan,nan,nan,nan,2
34,11,5,2,2,2,3,nan,nan,3,2,0,nan,1,nan,2,15,nan,nan,2,nan,nan,nan,2
26,12,5,0,8,2,nan,3,16,3,2,0,nan,1,nan,1,0,nan,nan,4,nan,nan,nan,2
56,14,2,3,2,2,3,2,2,4,9,3,nan,2,nan,2,1,2,2,2,7,2,nan,2
32,12,5,8,8,2,nan,2,2,4,4,0,nan,1,4,0,nan,nan,nan,1,nan,nan,nan,1
23,16,5,0,nan,2,2,1,1,2,4,2,1,nan,4,nan,nan,5,2,2,9,2,nan,3
34,16,3,0,8,2,nan,1,1,2,4,0,nan,1,nan,0,50,5,2,2,6,3,1,2
nan,19,5,0,2,2,nan,3,8,6,4,0,nan,1,1,2,2,1,2,1,8,0,2,1
79,16,1,4,4,1,nan,2,2,1,2,3,nan,nan,4,3,5,nan,nan,nan,nan,nan,nan,1
36,18,1,3,3,1,nan,2,2,4,1,6,1,2,4,1,4,0,2,1,8,0,nan,1
nan,16,3,2,3,2,nan,2,2,4,nan,nan,nan,1,nan,6,1,nan,nan,nan,nan,nan,nan,2
69,14,1,3,nan,1,3,2,2,4,1,5,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,1,3
56,14,5,5,6,2,nan,2,2,nan,1,5,nan,2,1,6,nan,nan,nan,2,nan,nan,nan,1
nan,16,1,2,nan,2,3,3,3,nan,2,1,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,1,3
36,16,5,3,nan,2,nan,2,2,4,1,7,1,1,4,0,1,nan,nan,2,nan,nan,2,1
nan,16,4,2,3,2,nan,2,2,nan,1,5,nan,1,1,1,1,nan,nan,1,nan,nan,nan,1
29,18,5,0,2,1,nan,2,2,3,2,4,nan,1,nan,0,9,4,nan,2,nan,nan,nan,2
44,11,5,0,8,2,nan,3,16,4,2,1,nan,1,4,3,3,3,2,2,8,2,nan,1
37,10,1,2,8,1,nan,3,15,6,4,0,nan,1,1,2,0,4,2,2,nan,0,nan,1
70,18,3,4,nan,1,3,1,1,4,3,1,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,1,3
nan,13,5,nan,nan,2,nan,1,1,2,4,2,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,3
62,12,4,2,3,1,3,1,1,6,2,0,nan,2,nan,6,7,nan,nan,nan,nan,nan,3,2
24,16,5,0,2,2,nan,1,1,3,4,0,nan,1,nan,2,3,4,2,2,9,3,2,2
83,12,2,2,3,2,nan,3,4,3,7,4,nan,2,nan,6,0,nan,nan,nan,nan,nan,nan,2
71,17,4,1,2,1,nan,1,1,5,2,3,nan,1,3,2,9,nan,nan,nan,nan,nan,1,1
68,16,1,0,8,1,nan,1,1,6,3,0,nan,2,4,2,14,7,2,1,10,0,3,1
nan,12,3,2,nan,2,3,nan,nan,5,1,nan,nan,nan,4,nan,nan,nan,2,3,9,20,nan,3
74,19,1,2,nan,1,3,3,4,4,7,4,1,nan,1,nan,nan,4,2,2,8,0,nan,3
46,16,5,0,8,2,nan,2,2,nan,9,3,nan,1,nan,0,7,4,1,1,7,0,nan,2
48,17,1,4,3,1,3,3,15,4,9,3,nan,1,nan,2,0,2,2,1,7,15,3,2
55,20,1,2,4,2,nan,1,1,7,2,0,2,1,4,0,1,1,2,1,nan,0,nan,1
46,12,1,2,nan,2,nan,1,1,5,2,3,2,nan,1,nan,nan,nan,nan,1,nan,nan,2,3
40,18,1,2,8,2,nan,1,1,2,4,0,1,1,4,1,20,2,2,2,9,5,nan,1
63,16,4,3,2,2,nan,1,1,5,2,2,nan,1,nan,8,nan,nan,nan,nan,nan,nan,nan,2
65,12,2,0,nan,2,3,1,1,4,1,0,nan,nan,4,nan,nan,7,2,1,8,0,nan,3
31,18,5,2,nan,2,nan,1,1,5,2,3,1,nan,4,nan,nan,1,2,1,nan,0,nan,3
39,13,4,2,nan,1,3,1,1,6,4,0,nan,nan,4,nan,nan,2,2,1,8,0,nan,3
51,20,3,3,3,1,nan,1,1,2,4,0,nan,1,nan,2,40,3,2,2,8,0,2,2
34,16,5,0,3,1,nan,1,1,4,1,0,1,1,4,20,8,2,2,2,6,0,1,1
29,16,5,0,2,2,nan,1,1,3,2,1,nan,1,nan,8,3,1,2,1,8,3,nan,2
87,15,3,0,2,1,3,1,1,5,4,0,nan,2,nan,6,1,nan,nan,nan,nan,nan,nan,2
41,16,1,0,8,2,3,1,1,1,4,0,nan,1,nan,2,1,4,nan,1,nan,0,nan,2
39,14,1,0,3,2,nan,3,16,4,nan,0,nan,1,nan,2,5,2,2,1,7,0,2,2
63,16,5,2,nan,2,3,2,2,4,1,8,1,nan,3,nan,nan,3,2,1,9,10,nan,3
41,16,4,4,nan,2,1,1,1,4,1,2,1,nan,4,nan,nan,1,2,2,9,4,2,3
68,13,3,1,8,2,nan,1,1,5,4,0,nan,1,nan,2,5,11,2,2,9,0,2,2
74,12,1,3,nan,2,3,1,1,4,2,7,1,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,3
50,3,5,5,0,2,nan,2,2,5,4,4,nan,2,nan,4,nan,nan,nan,2,nan,nan,2,2
53,18,5,1,3,2,nan,2,2,3,1,5,nan,1,4,2,2,2,2,1,7,0,nan,1
34,16,5,1,2,1,nan,3,16,4,11,5,nan,1,nan,0,40,1,2,1,nan,2,nan,2
62,12,1,3,2,1,nan,2,2,4,1,nan,nan,1,1,2,30,nan,nan,2,nan,nan,nan,1
54,16,4,2,3,2,nan,3,16,4,1,2,nan,1,nan,3,25,nan,nan,2,nan,nan,nan,2
37,16,4,0,3,2,3,1,1,4,10,5,nan,1,nan,2,60,2,2,1,10,0,nan,2
65,12,3,2,2,1,nan,1,1,4,2,1,nan,1,nan,4,0,nan,nan,nan,nan,nan,2,2
42,16,1,2,nan,1,3,1,1,5,2,0,1,nan,4,nan,nan,5,2,1,10,2,2,3
47,12,5,5,nan,2,3,1,1,4,1,3,nan,nan,4,nan,nan,1,2,1,8,10,nan,3
49,18,5,0,3,1,nan,1,1,5,2,7,2,1,3,3,10,3,2,2,8,0,1,1
nan,18,1,2,3,1,nan,1,1,3,3,5,1,1,4,0,8,1,2,1,9,0,1,1
nan,18,1,0,2,2,3,3,5,3,4,0,nan,1,nan,2,8,2,2,2,9,4,nan,2
64,18,5,0,2,1,nan,1,1,4,1,0,nan,1,4,1,10,4,2,2,10,0,nan,1
60,16,3,nan,nan,1,nan,1,1,1,2,7,nan,nan,nan,1,10,nan,nan,nan,nan,nan,nan,1
45,12,1,3,2,1,nan,1,1,4,4,0,1,1,4,3,20,3,2,2,9,0,nan,1
56,20,1,1,2,1,nan,3,8,3,4,0,nan,1,4,4,5,nan,nan,nan,nan,nan,2,1
30,16,1,0,2,2,nan,3,5,2,4,2,nan,1,nan,0,1,1,2,2,8,2,1,2
74,18,1,3,8,1,nan,1,1,4,1,2,nan,1,nan,2,4,nan,nan,nan,nan,nan,2,2
nan,16,5,0,8,1,nan,2,2,4,4,1,nan,1,4,3,0,nan,nan,1,nan,nan,nan,1
25,13,1,0,2,2,nan,1,1,3,2,2,nan,1,nan,3,2,5,2,1,9,5,nan,2
29,16,5,0,2,1,nan,1,1,5,4,0,nan,1,4,2,2,3,2,2,6,0,nan,1
29,17,5,0,8,1,nan,nan,nan,2,4,2,1,1,4,2,0,nan,nan,1,nan,nan,nan,1
29,16,5,0,8,2,nan,1,1,3,4,0,1,1,4,3,30,5,2,2,8,7,nan,1
53,16,1,1,1,1,nan,1,1,2,4,0,1,1,4,2,2,4,1,1,9,2,nan,1
72,16,1,2,nan,1,3,1,1,3,2,3,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,1,3
74,18,5,0,nan,2,3,3,7,3,4,0,1,nan,3,nan,nan,nan,nan,nan,nan,nan,1,3
43,19,1,3,2,1,3,3,9,4,2,2,nan,1,nan,2,3,1,2,1,6,5,2,2
36,14,3,4,nan,2,3,1,1,4,2,4,1,nan,4,nan,nan,nan,nan,1,nan,nan,3,3
40,17,1,2,nan,2,3,1,1,5,1,8,2,nan,1,nan,nan,2,2,2,10,1,2,3
60,14,1,3,nan,1,3,1,1,5,2,3,1,nan,4,nan,nan,2,2,1,10,0,2,3
35,17,5,3,2,1,nan,3,16,3,2,0,nan,1,nan,1,0,3,2,1,nan,0,3,2
44,14,1,3,1,2,nan,1,1,nan,1,8,nan,1,1,0,2,nan,nan,1,nan,nan,nan,1
66,17,1,1,3,1,nan,3,3,5,2,1,nan,1,1,0,40,2,2,2,7,0,nan,1
32,12,1,2,2,2,nan,1,1,4,1,0,2,2,1,1,1,4,2,1,10,20,nan,1
36,11,5,1,3,1,nan,2,2,1,1,2,nan,1,nan,4,0,nan,nan,nan,nan,nan,nan,2
48,15,1,2,3,2,nan,2,2,6,1,3,nan,1,nan,0,7,6,2,1,8,0,nan,2
61,3,2,3,3,1,nan,1,1,4,2,3,nan,1,nan,0,nan,2,2,2,8,0,nan,2
47,12,1,2,2,1,nan,3,16,6,2,3,nan,1,nan,2,1,4,2,1,8,0,nan,2
44,16,5,2,nan,1,3,2,2,nan,1,0,1,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,3
57,15,3,2,8,1,nan,2,2,2,1,2,nan,1,4,3,4,3,2,1,10,0,nan,1
75,14,3,3,nan,2,3,2,2,4,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
31,14,5,3,3,2,nan,2,2,4,1,0,nan,1,nan,2,1,1,2,1,8,0,2,2
62,0,4,3,nan,2,nan,1,1,3,2,3,nan,nan,1,nan,nan,nan,nan,2,nan,nan,nan,3
50,17,3,1,nan,2,3,1,1,4,2,3,1,nan,4,nan,nan,1,2,4,9,5,1,3
39,15,5,2,0,1,nan,1,1,4,10,2,nan,1,nan,1,4,7,2,1,10,30,3,2
33,13,5,0,nan,1,3,1,1,4,4,0,nan,nan,4,nan,nan,nan,nan,4,nan,nan,1,3
43,16,4,2,2,2,nan,nan,nan,2,2,1,nan,1,nan,1,7,1,2,1,9,3,nan,2
23,16,5,0,2,2,nan,3,5,2,4,2,nan,1,nan,3,5,5,2,1,8,3,nan,2
31,16,5,0,nan,2,3,1,1,3,4,2,1,nan,4,nan,nan,10,2,2,7,8,nan,3
33,19,5,0,nan,1,3,1,1,6,1,7,2,nan,1,nan,nan,3,2,1,8,0,2,3
24,12,5,0,nan,1,nan,3,16,4,2,0,1,nan,4,nan,nan,6,2,3,6,0,1,3
23,16,5,0,nan,1,nan,1,1,3,4,0,1,nan,4,nan,nan,nan,nan,2,nan,nan,nan,3
58,14,3,0,nan,1,nan,2,2,2,1,1,2,1,1,8,0,4,2,1,nan,0,nan,1
39,17,5,0,nan,2,nan,1,1,3,4,1,nan,1,4,4,1,2,2,2,6,20,1,1
56,6,1,3,4,1,nan,3,16,6,2,4,nan,1,nan,2,0,1,1,1,9,0,nan,2
71,16,1,0,nan,2,1,2,2,1,4,6,nan,nan,4,nan,nan,5,2,1,nan,0,nan,3
56,16,1,3,2,2,3,3,10,4,1,4,nan,2,nan,1,1,nan,nan,nan,nan,nan,nan,2
41,14,1,3,nan,2,3,3,10,4,9,8,nan,nan,1,nan,nan,nan,nan,1,nan,nan,nan,3
27,17,5,0,2,2,nan,1,1,1,1,1,nan,1,4,1,1,2,2,2,8,30,1,1
36,12,5,0,2,1,3,1,1,3,2,5,nan,1,nan,2,1,2,1,3,6,11,nan,2
59,12,1,4,4,1,nan,3,16,nan,2,7,nan,1,nan,1,0,1,2,2,9,0,nan,1
25,15,5,0,nan,1,1,2,2,3,2,6,1,nan,1,nan,nan,12,2,2,nan,0,2,3
28,20,1,1,8,2,nan,2,2,4,1,7,nan,1,nan,0,6,2,2,2,6,30,nan,2
70,12,2,1,5,2,nan,2,2,3,1,0,1,1,1,12,nan,nan,nan,nan,nan,nan,nan,1
59,16,4,3,nan,1,nan,2,2,4,9,5,1,nan,1,nan,nan,10,2,1,8,0,nan,3
20,15,5,0,nan,2,3,3,16,4,2,4,1,nan,4,nan,nan,nan,nan,nan,nan,nan,1,3
55,3,1,6,2,1,nan,1,1,2,4,0,nan,1,1,3,nan,nan,nan,1,nan,nan,nan,1
22,15,5,0,2,1,nan,1,1,4,5,0,nan,1,4,2,0,nan,nan,nan,nan,nan,1,1
51,7,2,3,2,2,3,3,16,5,4,0,nan,1,nan,3,4,nan,nan,1,nan,nan,nan,2
21,11,5,0,nan,1,nan,3,16,4,1,0,2,nan,1,nan,nan,nan,nan,2,nan,nan,nan,3
50,11,1,4,4,2,nan,1,1,5,1,7,2,1,1,2,0,4,2,2,8,0,nan,1
60,7,4,5,3,2,nan,1,1,6,2,5,nan,2,nan,3,nan,nan,nan,1,nan,nan,nan,2
66,16,1,0,0,2,nan,1,1,2,2,4,2,nan,1,1,nan,nan,nan,nan,nan,nan,nan,1
23,12,5,0,nan,1,3,1,1,4,2,0,1,nan,4,nan,nan,3,2,2,7,5,2,3
64,6,1,6,nan,2,3,3,16,6,2,6,nan,nan,4,nan,nan,nan,nan,1,nan,nan,nan,3
